"mig_profile","throughput","req_count","avg_latency","p90_latency","p95_latency"
7g.40gb,68.16098655605325,4090,14.48200136772615,16.9199375,17.3830475
4g.20gb,64.8562258260658,3892,15.225105643114098,17.6053661,18.3294899
3g.20gb,65.0850669147896,3906,15.176111679467517,17.254462500000002,17.6679295
2g.10gb,57.437199751480016,3447,17.22425779344357,18.4616554,18.7331817
1g.10gb,35.1583452717273,2110,28.25001723080569,28.413477,28.51541605
1g.5gb+me,34.05611279991198,2044,29.15615293737764,29.3170198,29.461636549999998
1g.5gb,34.32903062932769,2060,28.931436014563122,29.1472395,29.265655799999998
